,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002160,常铝股份,4.01,-1.23,-0.05,194110,78463797.0,2.46,4.09,3.99,4.03,4.06,2.45,58.52,1.12
1,2,300477,合纵科技,3.01,-1.63,-0.05,310673,94471512.0,3.27,3.1,3.0,3.07,3.06,3.32,-13.4,1.96
2,3,002466,天齐锂业,31.47,-2.18,-0.7,176544,560327521.9,2.58,32.23,31.4,32.06,32.17,1.2,-6.79,1.19
3,4,600210,紫江企业,6.74,-2.6,-0.18,387964,264177077.0,3.03,6.92,6.71,6.9,6.92,2.56,14.53,1.74
4,5,300438,鹏辉能源,28.05,-3.14,-0.91,109312,311780473.38,4.14,29.2,28.0,28.9,28.96,2.7,175.02,2.61
5,6,300568,星源材质,10.96,-3.61,-0.41,474782,528102457.21,4.4,11.43,10.93,11.3,11.37,3.91,31.6,1.5
6,7,688379,华光新材,25.88,-4.54,-1.23,19568,51424236.0,5.27,27.23,25.8,27.0,27.11,2.17,28.1,2.32
7,8,300648,星云股份,26.64,-4.79,-1.34,58551,158235443.77,4.68,27.91,26.6,27.91,27.98,5.51,-62.39,4.82
8,9,603032,德新科技,15.19,-5.3,-0.85,89854,138965136.0,4.93,15.95,15.16,15.9,16.04,3.9,163.54,2.8
9,10,002733,雄韬股份,19.68,-5.97,-1.25,570232,1140485925.96,5.97,20.79,19.54,20.7,20.93,15.46,47.76,2.79
10,11,000868,安凯客车,6.44,-6.53,-0.45,454869,298252470.0,6.24,6.85,6.42,6.81,6.89,6.2,-846.77,7.16
11,12,002594,比亚迪,372.0,-7.0,-27.99,282107,10685254370.83,5.83,393.31,370.0,393.01,399.99,2.43,33.6,7.27
12,13,002824,和胜股份,18.05,-10.02,-2.01,203189,374589816.03,8.42,19.74,18.05,19.52,20.06,10.74,67.96,3.0
